Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,1.432706,1.440196,1.432706,1.438994,1.438994,0
2010-01-04,1.431004,1.445191,1.426208,1.442398,1.442398,0
2010-01-05,1.442710,1.448310,1.435194,1.436596,1.436596,0
2010-01-06,1.436596,1.443460,1.429123,1.440403,1.440403,0
2010-01-07,1.440300,1.444481,1.430206,1.431803,1.431803,0
2010-01-08,1.432090,1.443606,1.427104,1.441109,1.441109,0
2010-01-11,1.446487,1.455435,1.446487,1.451126,1.451126,0
2010-01-12,1.450894,1.454376,1.445964,1.447660,1.447660,0
2010-01-13,1.447807,1.457705,1.445860,1.452391,1.452391,0
2010-01-14,1.452412,1.455202,1.446257,1.449990,1.449990,0
2010-01-15,1.449906,1.450410,1.434576,1.439097,1.439097,0
2010-01-18,1.437236,1.440673,1.433692,1.440673,1.440673,0
2010-01-19,1.440507,1.441400,1.425700,1.428102,1.428102,0
2010-01-20,1.428408,1.429000,1.408709,1.411034,1.411034,0
2010-01-21,1.411114,1.414027,1.403095,1.409702,1.409702,0
2010-01-22,1.409841,1.418198,1.408907,1.414107,1.414107,0
2010-01-25,1.415408,1.419426,1.413108,1.415008,1.415008,0
2010-01-26,1.414807,1.417897,1.404415,1.408232,1.408232,0
2010-01-27,1.408094,1.409741,1.400168,1.403095,1.403095,0
2010-01-28,1.402997,1.404968,1.394992,1.396804,1.396804,0
2010-01-29,1.396707,1.398699,1.386482,1.386693,1.386693,0
2010-02-01,1.387598,1.393709,1.385579,1.392699,1.392699,0
2010-02-02,1.392176,1.397624,1.388908,1.397624,1.397624,0
2010-02-03,1.397585,1.402406,1.388619,1.390105,1.390105,0
2010-02-04,1.390182,1.390608,1.372006,1.374495,1.374495,0
2010-02-05,1.374476,1.374608,1.358806,1.368008,1.368008,0
2010-02-08,1.364498,1.371404,1.362528,1.365467,1.365467,0
2010-02-09,1.365672,1.383949,1.365095,1.378208,1.378208,0
2010-02-10,1.378208,1.381101,1.368139,1.375327,1.375327,0
2010-02-11,1.375005,1.379958,1.360008,1.368176,1.368176,0
2010-02-12,1.368944,1.368944,1.353308,1.363494,1.363494,0
2010-02-15,1.362806,1.363196,1.358308,1.360304,1.360304,0
2010-02-16,1.359730,1.377771,1.359194,1.376709,1.376709,0
2010-02-17,1.376538,1.378873,1.359231,1.360692,1.360692,0
2010-02-18,1.361063,1.365318,1.345026,1.346149,1.346149,0
2010-02-19,1.347055,1.362008,1.345696,1.361507,1.361507,0
2010-02-22,1.362899,1.365300,1.357718,1.360563,1.360563,0
2010-02-23,1.360618,1.369263,1.349783,1.352704,1.352704,0
2010-02-24,1.352686,1.362194,1.350293,1.354316,1.354316,0
2010-02-25,1.354463,1.356999,1.345207,1.353601,1.353601,0
2010-02-26,1.353748,1.367858,1.353601,1.363104,1.363104,0
2010-03-01,1.364294,1.365393,1.346257,1.356208,1.356208,0
2010-03-02,1.355969,1.362305,1.344520,1.362064,1.362064,0
2010-03-03,1.362008,1.373400,1.359841,1.370163,1.370163,0
2010-03-04,1.370126,1.371197,1.355748,1.358400,1.358400,0
2010-03-05,1.358308,1.362899,1.353656,1.362899,1.362899,0
2010-03-08,1.364107,1.370370,1.361044,1.361693,1.361693,0
2010-03-09,1.361823,1.363587,1.353858,1.360692,1.360692,0
2010-03-10,1.360933,1.367671,1.354867,1.364331,1.364331,0
2010-03-11,1.364927,1.368794,1.362305,1.368532,1.368532,0
2010-03-12,1.368495,1.379405,1.367353,1.376993,1.376993,0
2010-03-15,1.377391,1.377391,1.364592,1.367746,1.367746,0
2010-03-16,1.367372,1.378284,1.366102,1.376879,1.376879,0
2010-03-17,1.376898,1.381654,1.373098,1.373834,1.373834,0
2010-03-18,1.373494,1.374004,1.359102,1.361396,1.361396,0
2010-03-19,1.361230,1.362806,1.350494,1.353693,1.353693,0
2010-03-22,1.351406,1.356907,1.346874,1.356705,1.356705,0
2010-03-23,1.356705,1.356907,1.346493,1.346801,1.346801,0
2010-03-24,1.347001,1.348545,1.330796,1.333102,1.333102,0
2010-03-25,1.332996,1.337059,1.326999,1.330707,1.330707,0
2010-03-26,1.330707,1.342408,1.330283,1.341004,1.341004,0
2010-03-29,1.344809,1.350512,1.342138,1.348109,1.348109,0
2010-03-30,1.347782,1.353491,1.340051,1.342408,1.342408,0
2010-03-31,1.342408,1.354591,1.338796,1.350804,1.350804,0
2010-04-01,1.350840,1.359120,1.346276,1.358400,1.358400,0
2010-04-02,1.358327,1.359194,1.347800,1.350494,1.350494,0
2010-04-05,1.349692,1.353894,1.346276,1.348909,1.348909,0
2010-04-06,1.348909,1.349783,1.335827,1.340195,1.340195,0
2010-04-07,1.340016,1.341004,1.332996,1.334846,1.334846,0
2010-04-08,1.334205,1.336702,1.328568,1.336112,1.336112,0
2010-04-09,1.336095,1.350093,1.334401,1.350093,1.350093,0
2010-04-12,1.363698,1.368794,1.356999,1.359601,1.359601,0
2010-04-13,1.359601,1.362194,1.354958,1.360859,1.360859,0
2010-04-14,1.361674,1.367802,1.360285,1.365598,1.365598,0
2010-04-15,1.365710,1.366792,1.352503,1.357405,1.357405,0
2010-04-16,1.357405,1.357497,1.347963,1.350402,1.350402,0
2010-04-19,1.348909,1.349327,1.341994,1.348727,1.348727,0
2010-04-20,1.348909,1.352192,1.343003,1.343508,1.343508,0
